0=>20	-0.330435:-0.084416:0.831169
112=>20	0.333333:0.0:0.836957
131=>20	-0.226087:-0.5:0.831169
156=>20	0.135889:0.0:0.403141
176=>20	0.26087:0.0:0.695652
184=>20	0.320558:0.0:0.481675
221=>20	0.10241:0.0:0.579186
222=>20	0.108696:0.0:0.695652
238=>20	0.270833:0.0:1.203125
239=>20	-0.108696:0.0:0.836957
273=>20	0.66087:-0.5:1.0
283=>20	0.226481:0.0:0.335079
293=>20	0.259036:0.0:0.696833
326=>20	0.297071:0.0:0.482759
331=>20	0.330435:-0.5:0.831169
338=>20	0.333333:-0.081522:0.836957
367=>20	0.137681:0.0:1.201087
396=>20	0.057971:-0.152174:0.695652
419=>20	0.439759:0.0:0.832579
458=>20	0.536585:0.0:0.403141
467=>20	0.0:-0.084416:0.831169
477=>20	0.26087:0.0:0.695652
485=>20	-0.108696:0.0:0.836957
522=>20	0.271967:0.0:0.482759
582=>20	0.10241:0.0:0.579186
604=>20	0.333333:-0.5:0.836957
613=>20	-0.083333:-0.5:1.4375
652=>20	-0.458333:0.21875:1.4375
662=>20	0.330435:-0.084416:0.831169
679=>20	-0.4:-0.5:1.194805
685=>20	0.535565:0.0:0.401254
697=>20	-0.114458:-0.502262:0.832579
732=>20	0.0:-0.5:1.0
74=>20	-0.269565:-0.5:1.194805
805=>20	0.666667:-0.5:1.0
807=>20	0.443478:0.0:0.831169
843=>20	0.48954:0.0:0.576802
876=>20	0.270833:-0.5:1.203125
893=>20	0.105528:0.0:0.581132
898=>20	-0.083333:-0.5:1.4375
90=>20	0.26087:0.0:0.695652
942=>20	0.643216:0.0:0.483019
967=>20	-0.226087:0.0:0.831169
971=>20	0.259036:0.0:0.696833
978=>20	0.26087:0.0:0.695652
991=>20	0.464435:0.0:0.69279
